Shape Bank                                       n= 54 1-2 2★             38 ms {"not-unique":1,"ok":1}
Maximum+Rose                                     n=  3 5-7 2★ missed     402 ms {"stars":30}
Range+Size Separation                            n=  3 1-2 2★            766 ms {"no-partition":1,"stars":2,"ok":1}
Range+Size Separation                            n=  3 5-7 7★            227 ms {"ok":1}
Delta+Gemini+Rose+Shape Bank                     n=  3 1-2 2★             14 ms {"ok":1}
Delta+Gemini+Rose+Shape Bank                     n=  3 5-7 2★ missed     915 ms {"stars":30}
Area Number+Gemini                               n=  2 1-2 2★             73 ms {"not-unique":1,"ok":1}
Area Number+Gemini                               n=  2 5-7 7★            314 ms {"stars":1,"ok":1}
Area Number+Mingle                               n=  2 1-2 2★             65 ms {"not-logical":1,"not-unique":2,"ok":1}
Area Number+Mingle                               n=  2 5-7 7★           1111 ms {"not-unique":1,"stars":3,"ok":1}
Area Number+Boxy+Mismatch                        n=  2 1-2 2★            319 ms {"no-partition":7,"ok":1}
Area Number+Boxy+Mismatch                        n=  2 5-7 5★            804 ms {"no-partition":7,"stars":7,"ok":1}
Delta+Polyomino                                  n=  2 1-2 2★             33 ms {"not-unique":1,"ok":1}
Delta+Polyomino                                  n=  2 5-7 2★ missed     313 ms {"stars":30}
Palisade+Polyomino                               n=  2 1-2 2★              9 ms {"ok":1}
Palisade+Polyomino                               n=  2 5-7 2★ missed     143 ms {"stars":30}
Gemini+Palisade                                  n=  2 1-2 1★              6 ms {"ok":1}
Gemini+Palisade                                  n=  2 5-7 5★             24 ms {"stars":1,"ok":1}
Delta+Gemini+Range                               n=  2 1-2 2★             53 ms {"ok":1}
Delta+Gemini+Range                               n=  2 5-7 6★            181 ms {"ok":1}
Minimum+Rose                                     n=  2 1-2 2★             33 ms {"ok":1}
Minimum+Rose                                     n=  2 5-7 2★ missed     387 ms {"stars":30}
Delta+Gemini+Minimum                             n=  2 1-2 2★             52 ms {"ok":1}
Delta+Gemini+Minimum                             n=  2 5-7 6★            183 ms {"ok":1}
Area Number+Range+Size Separation                n=  2 1-2 2★            250 ms {"no-partition":1,"ok":1}
Area Number+Range+Size Separation                n=  2 5-7 5★            367 ms {"ok":1}
Area Number+Mingle+Palisade+Solitude             n=  2 1-2 1★             14 ms {"ok":1}
Area Number+Mingle+Palisade+Solitude             n=  2 5-7 3★ missed     164 ms {"stars":30}
Mismatch+Palisade+Solitude                       n=  2 1-2 2★             15 ms {"ok":1}
Mismatch+Palisade+Solitude                       n=  2 5-7 3★ missed      91 ms {"stars":30}
Mingle+Palisade+Solitude                         n=  2 1-2 1★              9 ms {"ok":1}
Mingle+Palisade+Solitude                         n=  2 5-7 1★ missed      81 ms {"stars":30}
Mingle                                           n=  2 1-2 NONE          486 ms {"no-partition":15,"not-unique":15}
Mingle                                           n=  2 5-7 NONE          478 ms {"no-partition":15,"not-unique":15}
Delta+Polyomino+Shape Bank                       n=  2 1-2 2★             33 ms {"ok":1}
Delta+Polyomino+Shape Bank                       n=  2 5-7 6★           4715 ms {"stars":11,"ok":1}
Delta+Gemini+Polyomino+Shape Bank                n=  2 1-2 1★             76 ms {"ok":1}
Delta+Gemini+Polyomino+Shape Bank                n=  2 5-7 3★ missed    1887 ms {"stars":27,"too-many-clues":3}
Delta+Precision                                  n=  2 1-2 2★             63 ms {"ok":1}
Delta+Precision                                  n=  2 5-7 7★            111 ms {"ok":1}
Mismatch+Precision                               n= 11 1-2 2★            170 ms {"ok":1}
Mismatch+Precision                               n= 11 5-7 7★            173 ms {"ok":1}
Mismatch+Polyomino+Precision                     n=  2 1-2 2★             45 ms {"ok":1}
Mismatch+Polyomino+Precision                     n=  2 5-7 6★            170 ms {"ok":1}
